acct_id,acct_name,acct_type,acct_status,industry_code,bill_addr_street,bill_addr_unit,bill_addr_city,bill_addr_state,bill_addr_zip,bill_addr_country,ship_addr_street,ship_addr_city,ship_addr_state,ship_addr_zip,ship_addr_country,phone_number,fax_number,website_url,email_address,annual_revenue,employee_count,acct_description,sf_id,created_ts,modified_ts
ACCT00001,Acme Technologies Inc,CUST,A,TECH,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,US,1600 Amphitheatre Pkwy,Mountain View,CA,94043,US,+16505550101,+16505550102,https://acmetech.example.com,info@acmetech.example.com,4500000.00,320,Leading provider of cloud infrastructure solutions,,2018-03-15 08:00:00,2025-11-20 14:32:00
ACCT00002,Global Pharma Solutions LLC,CUST,A,HLTH,500 Stanton Christiana Rd,Suite 200,Newark,DE,19713,US,,,,,, +13025550210,,https://globalpharma.example.com,contact@globalpharma.example.com,12800000.00,850,Pharmaceutical distribution and supply chain,, 2017-07-01 09:15:00,2026-01-10 11:20:00
ACCT00003,Riverside Manufacturing Co,CUST,A,MFG,4200 Industrial Blvd,,Detroit,MI,48201,US,4200 Industrial Blvd,Detroit,MI,48201,US,+13135550333,+13135550334,https://riverside-mfg.example.com,sales@riverside-mfg.example.com,29000000.00,1200,Precision metal parts and automotive components,,2015-02-10 10:45:00,2025-09-05 16:00:00
ACCT00004,Sunrise Retail Group,CUST,A,RET,88 Canal Center Plaza,Floor 3,Alexandria,VA,22314,US,,,,,, +17035550444,,https://sunriseretail.example.com,hello@sunriseretail.example.com,7200000.00,430,Multi-channel retail operations across the East Coast,,2019-05-22 07:30:00,2025-12-01 09:00:00
ACCT00005,Pacific Energy Partners,CUST,A,UTIL,333 Bush St,Suite 3800,San Francisco,CA,94104,US,,,,,, +14155550555,+14155550556,https://pacificenergy.example.com,info@pacificenergy.example.com,85000000.00,2100,Renewable energy generation and distribution,,2013-11-30 13:00:00,2026-02-14 08:45:00
ACCT00006,Clearwater Financial Services,CUST,A,FIN,200 Park Ave,,New York,NY,10166,US,200 Park Ave,New York,NY,10166,US,+12125550666,+12125550667,https://clearwaterfs.example.com,inquiries@clearwaterfs.example.com,32000000.00,560,Investment banking and wealth management advisory,,2016-09-14 11:30:00,2025-08-22 15:15:00
ACCT00007,Northern Education Foundation,CUST,A,EDU,1 University Circle,,Chicago,IL,60637,US,,,,,, +17735550777,,https://northernedu.example.com,admin@northernedu.example.com,2100000.00,95,Non-profit educational foundation and scholarship programs,,2020-01-08 09:00:00,2025-10-30 12:00:00
ACCT00008,Summit Insurance Group,CUST,A,INS,3500 Lenox Rd NE,Suite 1500,Atlanta,GA,30326,US,,,,,, +14045550888,+14045550889,https://summitinsurance.example.com,service@summitinsurance.example.com,18400000.00,740,Commercial and personal lines insurance carrier,,2014-06-25 08:30:00,2025-07-18 10:30:00
ACCT00009,BlueSky Logistics Inc,CUST,A,TRANS,8770 W Bryn Mawr Ave,Suite 1300,Chicago,IL,60631,US,8770 W Bryn Mawr Ave,Chicago,IL,60631,US,+17735550999,+17735551000,https://blueskylogistics.example.com,ops@blueskylogistics.example.com,9600000.00,380,Third-party logistics and freight management,,2018-10-03 14:00:00,2025-11-11 17:00:00
ACCT00010,Meridian Consulting Partners,PROS,A,FIN,101 Federal St,Floor 9,Boston,MA,02110,US,,,,,, +16175551010,,https://meridianconsult.example.com,bizdev@meridianconsult.example.com,3200000.00,82,Management consulting and financial advisory services,,2022-03-15 10:00:00,2026-01-25 09:30:00
ACCT00011,Vertex Software Corp,CUST,A,TECH,2350 Mission College Blvd,,Santa Clara,CA,95054,US,,,,,, +14085551111,,https://vertexsoftware.example.com,sales@vertexsoftware.example.com,67000000.00,1650,Enterprise software and SaaS platform provider,,2012-08-20 11:00:00,2026-03-01 16:45:00
ACCT00012,Ironwood Building Materials,CUST,A,MFG,9200 Keystone Crossing,Suite 400,Indianapolis,IN,46240,US,9200 Keystone Crossing,Indianapolis,IN,46240,US,+13175551212,,https://ironwoodbm.example.com,orders@ironwoodbm.example.com,14700000.00,510,Commercial building materials distribution,,2017-04-12 09:00:00,2025-06-30 14:20:00
ACCT00013,Coastal Media Group,CUST,I,MEDIA,1221 Ave of the Americas,Floor 44,New York,NY,10020,US,,,,,, +12125551313,+12125551314,https://coastalmedia.example.com,info@coastalmedia.example.com,5800000.00,210,Digital media and content publishing network,,2016-02-28 08:00:00,2024-11-15 12:00:00
ACCT00014,Apex Healthcare Systems,CUST,A,HLTH,600 Superior Ave E,Suite 1600,Cleveland,OH,44114,US,600 Superior Ave E,Cleveland,OH,44114,US,+12165551414,+12165551415,https://apexhealthcare.example.com,contact@apexhealthcare.example.com,43000000.00,1900,Hospital management and clinical services,,2011-07-07 10:30:00,2026-02-20 08:00:00
ACCT00015,GreenPath Environmental,PROS,A,UTIL,411 W Monroe St,,Phoenix,AZ,85003,US,,,,,, +16025551515,,https://greenpathenviron.example.com,info@greenpathenviron.example.com,1400000.00,48,Environmental consulting and sustainability auditing,,2023-05-01 09:00:00,2025-12-10 11:00:00
ACCT00016,Horizon Banking Corp,CUST,A,BANK,1 Financial Center,,Los Angeles,CA,90071,US,1 Financial Center,Los Angeles,CA,90071,US,+12135551616,+12135551617,https://horizonbanking.example.com,corporate@horizonbanking.example.com,220000000.00,4300,Regional commercial and retail banking,,2008-03-01 07:00:00,2026-01-31 12:00:00
ACCT00017,Quantum Research Labs,PART,A,TECH,One Infinite Loop,,Cupertino,CA,95014,US,,,,,, +14085551717,,https://quantumresearchlabs.example.com,partnerships@qrl.example.com,28000000.00,620,Applied AI and quantum computing research,,2015-09-15 13:00:00,2025-10-05 14:00:00
ACCT00018,Northstar Retail Finance,CUST,S,FIN,225 S Sixth St,Suite 3500,Minneapolis,MN,55402,US,,,,,, +16125551818,,https://northstarrf.example.com,support@northstarrf.example.com,9100000.00,330,Consumer retail credit and financing,,2016-12-01 10:00:00,2024-05-20 09:00:00
ACCT00019,Cascade Agricultural Co,CUST,A,TECH,1400 S International Pkwy,,Lake Mary,FL,32746,US,1400 S International Pkwy,Lake Mary,FL,32746,US,+14075551919,,https://cascadeagri.example.com,info@cascadeagri.example.com,6300000.00,275,Precision agriculture technology and IoT sensors,,2019-08-19 09:30:00,2025-09-28 15:00:00
ACCT00020,Atlas Government Solutions,CUST,A,GOVT,1101 17th St NW,Suite 400,Washington,DC,20036,US,,,,,, +12025552020,+12025552021,https://atlasgovsolutions.example.com,contracts@atlasgovsolutions.example.com,37500000.00,980,Federal and state government IT contracting,,2010-04-15 08:00:00,2026-03-10 11:30:00
